Start,End,ServiceName,Amount,USD
2023-11-01,2023-12-01,Tax,62.39,USD
2023-12-01,2023-12-31,AWS CloudShell,2.8171e-06,USD
2023-12-01,2023-12-31,AWS CloudTrail,0.0,USD
2023-12-01,2023-12-31,AWS Cost Explorer,2.587792903,USD
2023-12-01,2023-12-31,AWS Glue,0.0,USD
2023-12-01,2023-12-31,AWS Key Management Service,0.09167016,USD
2023-12-01,2023-12-31,AWS Lambda,0.0,USD
2023-12-01,2023-12-31,AWS Secrets Manager,1e-05,USD
2023-12-01,2023-12-31,AWS Step Functions,0.0,USD
2023-12-01,2023-12-31,AWS Support (Business),41.0396,USD
2023-12-01,2023-12-31,AWS Systems Manager,0.0,USD
2023-12-01,2023-12-31,Amazon API Gateway,0.0,USD
2023-12-01,2023-12-31,Amazon CloudFront,4.95e-08,USD
2023-12-01,2023-12-31,Amazon DynamoDB,0.0,USD
2023-12-01,2023-12-31,Amazon EC2 Container Registry (ECR),1.6539656348,USD
2023-12-01,2023-12-31,Amazon ElastiCache,5.379,USD
2023-12-01,2023-12-31,EC2 - Other,103.5839658558,USD
2023-12-01,2023-12-31,Amazon Elastic Compute Cloud - Compute,135.7167956205,USD
2023-12-01,2023-12-31,Amazon Elastic Container Service for Kubernetes,75.742254722,USD
2023-12-01,2023-12-31,Amazon Elastic File System,0.0,USD
2023-12-01,2023-12-31,Amazon Elastic Load Balancing,3.7772449057,USD
2023-12-01,2023-12-31,Amazon OpenSearch Service,16.7053954938,USD
2023-12-01,2023-12-31,Amazon Relational Database Service,1.3507399503,USD
2023-12-01,2023-12-31,Amazon Simple Email Service,0.0001570407,USD
2023-12-01,2023-12-31,Amazon Simple Notification Service,0.0,USD
2023-12-01,2023-12-31,Amazon Simple Queue Service,0.0,USD
2023-12-01,2023-12-31,Amazon Simple Storage Service,1.466508857,USD
2023-12-01,2023-12-31,Amazon Virtual Private Cloud,0.312,USD
2023-12-01,2023-12-31,AmazonCloudWatch,1.1765458085,USD
2023-12-01,2023-12-31,Claude Instant (Amazon Bedrock Edition),40.73140541,USD
2023-12-01,2023-12-31,Tax,7.33,USD
